Data As Of,Start Date,End Date,Group,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,All Ages,1146774.0,12303399.0,1162844.0,22229.0,1760095.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,Under 1 year,519.0,73213.0,1056.0,64.0,1541.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,0-17 years,1696.0,130970.0,2961.0,509.0,4716.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,1-4 years,285.0,14299.0,692.0,177.0,1079.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,5-14 years,509.0,22008.0,818.0,219.0,1390.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,15-24 years,3021.0,133459.0,3175.0,206.0,5133.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,18-29 years,7030.0,231382.0,7038.0,329.0,11206.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,25-34 years,12401.0,278680.0,11706.0,464.0,18689.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,30-39 years,19886.0,348041.0,18395.0,644.0,29114.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,35-44 years,30108.0,416477.0,27301.0,797.0,42904.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,40-49 years,46260.0,511478.0,41105.0,1002.0,64168.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,45-54 years,71388.0,709522.0,64918.0,1452.0,99423.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,50-64 years,203071.0,2030691.0,202077.0,4345.0,298620.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,55-64 years,159712.0,1604904.0,161910.0,3450.0,237665.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,65-74 years,256806.0,2509095.0,272676.0,4676.0,394174.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,75-84 years,300162.0,3034906.0,317267.0,5348.0,470076.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,All Sexes,85 years and over,311863.0,3506836.0,301325.0,5376.0,488021.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,All Ages,629728.0,6469164.0,645490.0,10848.0,958520.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,Under 1 year,284.0,40371.0,586.0,40.0,854.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,0-17 years,910.0,76420.0,1601.0,282.0,2544.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,1-4 years,151.0,8102.0,341.0,109.0,563.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,5-14 years,261.0,12850.0,449.0,104.0,723.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,15-24 years,1797.0,97748.0,1917.0,104.0,3080.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,18-29 years,4301.0,168776.0,4276.0,172.0,6832.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,25-34 years,7607.0,196824.0,7129.0,235.0,11354.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,30-39 years,12263.0,237089.0,11180.0,323.0,17679.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,35-44 years,18602.0,273868.0,16415.0,415.0,25984.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,40-49 years,28930.0,326794.0,24772.0,552.0,39167.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,45-54 years,45411.0,445872.0,39447.0,828.0,61374.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,50-64 years,125592.0,1249590.0,120596.0,2387.0,180527.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,55-64 years,97883.0,983034.0,96141.0,1881.0,142817.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,65-74 years,152082.0,1450938.0,160476.0,2464.0,231668.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,75-84 years,168030.0,1576934.0,179597.0,2598.0,261698.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Male,85 years and over,137620.0,1382623.0,142992.0,2070.0,218405.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Female,All Ages,517046.0,5834235.0,517354.0,11381.0,801575.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Female,Under 1 year,235.0,32842.0,470.0,24.0,687.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Female,0-17 years,786.0,54550.0,1360.0,227.0,2172.0
09/27/2023,01/01/2020,09/23/2023,By Total,United States,Female,1-4 years,134.0,6197.0,351.0,68.0,516.0
