poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,party,answer,candidate_id,candidate_name,pct
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Harris,16661,Kamala Harris,31.0
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Newsom,18945,Gavin Newsom,17.0
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Buttigieg,16662,Pete Buttigieg,8.0
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Sanders,19238,Bernard Sanders,7.0
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Whitmer,28588,Gretchen Whitmer,6.0
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Warren,19237,Elizabeth Warren,4.0
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Ocasio-Cortez,16664,Alexandria Ocasio-Cortez,3.0
87298,568,YouGov,1213,Yahoo News,YouGov,391,YouGov,2.9,-1.1,Online Panel,9.0,,6/28/24,7/1/24,,"",,,,,201937,536,rv,d,rv-d,,7/3/24 08:58,"",https://www.yahoo.com/news/new-yahoo-newsyougov-poll-60-of-americans-say-biden-is-not-fit-for-another-term-as-president-after-disastrous-debate--yet-2024-contest-with-trump-remains-too-close-to-call-204915250.html,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Klobuchar,16671,Amy Klobuchar,2.0
87272,460,SurveyUSA,"","",SurveyUSA,325,SurveyUSA,2.8,-1.3,Online Panel,8.0,,6/28/24,6/28/24,,"",,,,,201670,879,lv,d,lv-d,,6/28/24 17:12,"",https://www.surveyusa.com/client/PollReport.aspx?g=92c0a94c-3531-4584-a468-f8145c8aa811,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Harris,16661,Kamala Harris,43.0
87272,460,SurveyUSA,"","",SurveyUSA,325,SurveyUSA,2.8,-1.3,Online Panel,8.0,,6/28/24,6/28/24,,"",,,,,201670,879,lv,d,lv-d,,6/28/24 17:12,"",https://www.surveyusa.com/client/PollReport.aspx?g=92c0a94c-3531-4584-a468-f8145c8aa811,"",,,8915,2024,U.S. President,0,,,primary,false,false,,DEM,Newsom,18945,Gavin Newsom,16.0
